LGU PROFILE,,,LGU PROFILE,,,,,,,,,,,,,DECEMBER 2024,,,January 2025,,,February 2025,,,March 2025,,,April 2025,,,May 2025,,,June 2025,,,July 2025,,,August 2025,,,September 2025,,,October 2025,,,November 2025,,,December 2025,,
16-068-12-000,16-68-12-000,"Lingig, Surigao del Sur",Lingig,Surigao del Sur,Region XIII (Caraga),Municipality,2nd,R13,A,O,#REF!,#REF!,https://bpbc.ibpls.com/lingigsurigaodelsur,https://prod.ebpls.com/lingigsurigaodelsur,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
08-026-13-000,08-26-13-000,"Llorente, Eastern Samar",Llorente,Eastern Samar,Region VIII (Eastern Visayas),Municipality,3rd,R8,A,K,#REF!,#REF!,https://bpbc.ibpls.com/llorenteeasternsamar,https://prod.ebpls.com/llorenteeasternsamar,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
07-012-28-000,07-12-28-000,"Loay, Bohol",Loay,Bohol,Region VII (Central Visayas),Municipality,5th,R7,B,J,#REF!,#REF!,https://bpbc.ibpls.com/loaybohol,https://prod.ebpls.com/loaybohol,,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,operational but not using the system,[1] Operational,[A] Operational,operational but not using the system,[1] Operational,[A] Operational,operational but not using the system,[1] Operational,[A] Operational,operational but not using the system,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
04-010-15-000,04-10-15-000,"Lobo, Batangas",Lobo,Batangas,Region IV-A (CALABARZON),Municipality,3rd,R4A,A,F,#REF!,#REF!,https://bpbc.ibpls.com/lobobatangas,https://prod.ebpls.com/lobobatangas,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
17-051-03-000,17-51-03-000,"Looc, Occidental Mindoro",Looc,Occidental Mindoro,MIMAROPA Region,Municipality,5th,R4B,B,G,#REF!,#REF!,https://bpbc.ibpls.com/loococcidentalmindoro,https://prod.ebpls.com/loococcidentalmindoro/,,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
17-059-07-000,17-59-07-000,"Looc, Romblon",Looc,Romblon,MIMAROPA Region,Municipality,4th,R4B,A,G,#REF!,#REF!,https://bpbc.ibpls.com/loocromblon,https://prod.ebpls.com/loocromblon/.php/login,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
08-048-24-000,08-48-24-000,"Lope De Vega, Northern Samar",Lope De Vega,Northern Samar,Region VIII (Eastern Visayas),Municipality,4th,R8,A,K,#REF!,#REF!,https://bpbc.ibpls.com/lopedeveganorthernsamar,https://prod.ebpls.com/lopedeveganorthernsamar,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
04-056-22-000,04-56-22-000,"Lopez, Quezon",Lopez,Quezon,Region IV-A (CALABARZON),Municipality,1st,R4A,A,F,#REF!,#REF!,https://bpbc.ibpls.com/lopezquezon,https://prod.ebpls.com/lopezquezon,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
17-051-04-000,17-51-04-000,"Lubang, Occidental Mindoro",Lubang,Occidental Mindoro,MIMAROPA Region,Municipality,4th,R4B,B,G,#REF!,#REF!,https://bpbc.ibpls.com/lubangoccidentalmindoro,https://prod.ebpls.com/lubangoccidentalmindoro/.php/login,,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
14-032-06-000,14-32-06-000,"Lubuagan, Kalinga",Lubuagan,Kalinga,Cordillera Administrative Region (CAR),Municipality,4th,CAR,B,B,#REF!,#REF!,https://bpbc.ibpls.com/lubuagankalinga,https://prod.ebpls.com/lubuagankalinga/,,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10-043-16-000,10-43-16-000,"Lugait, Misamis Oriental",Lugait,Misamis Oriental,Region X (Northern Mindanao),Municipality,2nd,R10,A,N,#REF!,#REF!,https://bpbc.ibpls.com/lugaitmisamisoriental,https://prod.ebpls.com/lugaitmisamisoriental,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
04-034-13-000,04-34-13-000,"Lumban, Laguna",Lumban,Laguna,Region IV-A (CALABARZON),Municipality,3rd,R4A,A,F,#REF!,#REF!,https://bpbc.ibpls.com/lumbanlaguna,https://prod.ebpls.com/lumbanlaguna,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
14-081-05-000,14-81-05-000,"Luna, Apayao",Luna,Apayao,Cordillera Administrative Region (CAR),Municipality,2nd,CAR,A,B,#REF!,#REF!,https://bpbc.ibpls.com/lunaapayao,https://prod.ebpls.com/lunaapayao,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
03-049-16-000,03-49-16-000,"Lupao, Nueva Ecija",Lupao,Nueva Ecija,Region III (Central Luzon),Municipality,3rd,R3,B,E,#REF!,#REF!,https://bpbc.ibpls.com/lupaonuevaecija,https://prod.ebpls.com/lupaonuevaecija,2023-01,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11-025-07-000,11-25-07-000,"Lupon, Davao Oriental",Lupon,Davao Oriental,Region XI (Davao Region),Municipality,1st,R11,A,P,#REF!,#REF!,https://bpbc.ibpls.com/lupondavaooriental,https://prod.ebpls.com/lupondavaooriental,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12-047-10-000,12-47-10-000,"M'Lang, Cotabato",M'Lang,Cotabato,Region XII (SOCCSKSARGEN),Municipality,1st,R12,A,Q,#REF!,#REF!,https://bpbc.ibpls.com/mlangcotabato,https://prod.ebpls.com/mlangnorthcotabato,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
06-019-07-000,06-19-07-000,"Ma-Ayon, Capiz",Ma-Ayon,Capiz,Region VI (Western Visayas),Municipality,3rd,R6,B,I,#REF!,#REF!,https://bpbc.ibpls.com/ma-ayoncapiz,https://prod.ebpls.com/maayoncapiz/,2023-01,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12-080-04-000,12-80-04-000,"Maasim, Sarangani",Maasim,Sarangani,Region XII (SOCCSKSARGEN),Municipality,1st,R12,B,Q,#REF!,#REF!,https://bpbc.ibpls.com/maasimsarangani,https://prod.ebpls.com/maasimsarangani,,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
06-030-29-000,06-30-29-000,"Maasin, Iloilo",Maasin,Iloilo,Region VI (Western Visayas),Municipality,3rd,R6,A,I,#REF!,#REF!,https://bpbc.ibpls.com/maasiniloilo,https://prod.ebpls.com/maasiniloilo,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
03-054-09-000,03-54-09-000,"Mabalacat City, Pampanga",Mabalacat City,Pampanga,Region III (Central Luzon),City,3rd,R3,A,E,#REF!,#REF!,https://bpbc.ibpls.com/mabalacatcitypampanga,https://prod.ebpls.com/mabalacatpampanga/.php/login,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
07-046-14-000,07-46-14-000,"Mabinay, Negros Oriental",Mabinay,Negros Oriental,Region VII (Central Visayas),Municipality,1st,R7,A,J,#REF!,#REF!,https://bpbc.ibpls.com/mabinaynegrosoriental,https://prod.ebpls.com/mabinaynegrosoriental/.php/login,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
04-010-16-000,04-10-16-000,"Mabini, Batangas",Mabini,Batangas,Region IV-A (CALABARZON),Municipality,1st,R4A,A,F,#REF!,#REF!,https://bpbc.ibpls.com/mabinibatangas,https://prod.ebpls.com/mabinibatangas,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
03-054-10-000,03-54-10-000,"Macabebe, Pampanga",Macabebe,Pampanga,Region III (Central Luzon),Municipality,1st,R3,A,E,#REF!,#REF!,https://bpbc.ibpls.com/macabebepampanga,https://prod.ebpls.com/macabebepampanga/.php/login,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
08-037-30-000,08-37-30-000,"Macarthur, Leyte",Macarthur,Leyte,Region VIII (Eastern Visayas),Municipality,5th*,R8,B,K,#REF!,#REF!,https://bpbc.ibpls.com/macarthurleyte,https://prod.ebpls.com/macarthurleyte,,#N/A,#N/A,#N/A,[2] Pilot Testing,[B] Developmental,For re-DBU. LGU updated their LRC,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,Waiting for deletion of test data and for pilot implementation,[2] Pilot Testing,[B] Developmental,"Waiting for first client, ready for implementation.",[2] Pilot Testing,[B] Developmental,"Waiting for first client, ready for implementation.",[2] Pilot Testing,[B] Developmental,"Waiting for first client, ready for implementation.",[2] Pilot Testing,[B] Developmental,"Waiting for first client, ready for implementation.",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
08-064-08-000,08-64-08-000,"Macrohon, Southern Leyte",Macrohon,Southern Leyte,Region VIII (Eastern Visayas),Municipality,4th,R8,A,K,#REF!,#REF!,https://bpbc.ibpls.com/macrohonsouthernleyte,https://prod.ebpls.com/macrohonsouthernleyte,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
02-057-04-000,02-57-04-000,"Maddela, Quirino",Maddela,Quirino,Region II (Cagayan Valley),Municipality,1st,R2,A,D,#REF!,#REF!,https://bpbc.ibpls.com/maddelaquirino,https://prod.ebpls.com/maddelaquirino,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
16-068-13-000,16-68-13-000,"Madrid, Surigao del Sur",Madrid,Surigao del Sur,Region XIII (Caraga),Municipality,4th,R13,B,O,#REF!,#REF!,https://bpbc.ibpls.com/madridsurigaodelsur,https://prod.ebpls.com/madridsurigaodelsur,2023-01,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
07-022-28-000,07-22-28-000,"Madridejos, Cebu",Madridejos,Cebu,Region VII (Central Visayas),Municipality,4th,R7,A,J,#REF!,#REF!,https://bpbc.ibpls.com/madridejoscebu,https://prod.ebpls.com/madridejoscebu,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
03-054-11-000,03-54-11-000,"Magalang, Pampanga",Magalang,Pampanga,Region III (Central Luzon),Municipality,1st,R3,B,E,#REF!,#REF!,https://bpbc.ibpls.com/magalangpampanga,https://prod.ebpls.com/magalangpampanga,2023-01,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
16-002-08-000,16-02-08-000,"Magallanes, Agusan del Norte",Magallanes,Agusan del Norte,Region XIII (Caraga),Municipality,4th,R13,A,O,#REF!,#REF!,https://bpbc.ibpls.com/magallanesagusandelnorte,https://prod.ebpls.com/magallanesagusandelnorte,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
04-021-12-000,04-21-12-000,"Magallanes, Cavite",Magallanes,Cavite,Region IV-A (CALABARZON),Municipality,4th,R4A,A,F,#REF!,#REF!,https://bpbc.ibpls.com/magallanescavite,https://prod.ebpls.com/magallanescavite,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
05-062-11-000,05-62-11-000,"Magallanes, Sorsogon",Magallanes,Sorsogon,Region V (Bicol Region),Municipality,3rd,R5,B,H,#REF!,#REF!,https://bpbc.ibpls.com/magallanessorsogon,https://prod.ebpls.com/magallanessorsogon,,#N/A,#N/A,#N/A,[6] With Concerns,[C] For Training/Others,,[6] With Concerns,[C] For Training/Others,,[6] With Concerns,[C] For Training/Others,,[6] With Concerns,[C] For Training/Others,,[6] With Concerns,[C] For Training/Others,,[6] With Concerns,[C] For Training/Others,,[6] With Concerns,[C] For Training/Others,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
05-017-20-000,05-17-20-000,"Magarao, Camarines Sur",Magarao,Camarines Sur,Region V (Bicol Region),Municipality,4th,R5,B,H,#REF!,#REF!,https://bpbc.ibpls.com/magaraocamarinessur,https://prod.ebpls.com/magaraocamarinessur,,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
12-047-06-000,12-47-06-000,"Magpet, Cotabato",Magpet,Cotabato,Region XII (SOCCSKSARGEN),Municipality,1st,R12,A,Q,#REF!,#REF!,https://bpbc.ibpls.com/magpetcotabato,https://prod.ebpls.com/magpetnorthcotabato,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11-024-07-000,11-24-07-000,"Magsaysay, Davao del Sur",Magsaysay,Davao del Sur,Region XI (Davao Region),Municipality,3rd,R11,A,P,#REF!,#REF!,https://bpbc.ibpls.com/magsaysaydavaodelsur,https://prod.ebpls.com/magsaysaydavaodelsur,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10-035-11-000,10-35-11-000,"Magsaysay, Lanao del Norte",Magsaysay,Lanao del Norte,Region X (Northern Mindanao),Municipality,5th,R10,A,N,#REF!,#REF!,https://bpbc.ibpls.com/magsaysaylanaodelnorte,https://prod.ebpls.com/magsaysaylanaodelnorte,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10-043-17-000,10-43-17-000,"Magsaysay, Misamis Oriental",Magsaysay,Misamis Oriental,Region X (Northern Mindanao),Municipality,4th,R10,A,N,#REF!,#REF!,https://bpbc.ibpls.com/magsaysaymisamisoriental,https://prod.ebpls.com/magsaysaymisamisoriental,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
17-051-05-000,17-51-05-000,"Magsaysay, Occidental Mindoro",Magsaysay,Occidental Mindoro,MIMAROPA Region,Municipality,3rd,R4B,B,G,#REF!,#REF!,https://bpbc.ibpls.com/magsaysayoccidentalmindoro,https://prod.ebpls.com/magsaysayoccidentalmindoro,,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
08-037-31-000,08-37-31-000,"Mahaplag, Leyte",Mahaplag,Leyte,Region VIII (Eastern Visayas),Municipality,4th,R8,A,K,#REF!,#REF!,https://bpbc.ibpls.com/mahaplagleyte,https://prod.ebpls.com/mahaplagleyte,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
09-073-15-000,09-73-15-000,"Mahayag, Zamboanga del Sur",Mahayag,Zamboanga del Sur,Region IX (Zamboanga Peninsula),Municipality,3rd*,R9,A,L,#REF!,#REF!,https://bpbc.ibpls.com/mahayagzamboangadelsur,https://prod.ebpls.com/mahayagzamboangadelsur,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10-018-03-000,10-18-03-000,"Mahinog, Camiguin",Mahinog,Camiguin,Region X (Northern Mindanao),Municipality,5th,R10,A,N,#REF!,#REF!,https://bpbc.ibpls.com/mahinogcamiguin,https://prod.ebpls.com/mahinogcamiguin,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
