,ENGAGEMENT STATUS,,,,LGU PROFILE,,,,,,,,,,DECEMBER 2024,,JANUARY 2025,,FEBRUARY 2025,,,MARCH 2025,,,APRIL 2025,,,MAY 2025,,,JUNE 2025,,,JULY 2025,,,AUGUST 2025,,,SEPTEMBER 2025,,,OCTOBER 2025,,,NOVEMBER 2025,,,DECEMBER 2025,,
"Culion, Palawan",2022,2022-12,,,17-053-22-000,17-53-22-000,Culion,Palawan,MIMAROPA Region,Municipality,3rd,R4B,A,G,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Ferrol, Romblon",2022,2022-12,,,17-059-16-000,17-59-16-000,Ferrol,Romblon,MIMAROPA Region,Municipality,6th,R4B,A,G,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Looc, Romblon",2023,2023-02,,,17-059-07-000,17-59-07-000,Looc,Romblon,MIMAROPA Region,Municipality,4th,R4B,B,G,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Pinamalayan, Oriental Mindoro",,,,,17-052-09-000,17-52-09-000,Pinamalayan,Oriental Mindoro,MIMAROPA Region,Municipality,1st,R4B,B,G,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Quezon, Palawan",2021,2022-12,,,17-053-17-000,17-53-17-000,Quezon,Palawan,MIMAROPA Region,Municipality,1st,R4B,A,G,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Rizal, Occidental Mindoro",2023,2023-03,,,17-051-08-000,17-51-08-000,Rizal,Occidental Mindoro,MIMAROPA Region,Municipality,3rd,R4B,B,G,#N/A,#N/A,[2] Ongoing Testing and Data Build-up,[B] Developmental,[2] Ongoing Testing and Data Build-up,[B] Developmental,,[2] Ongoing Testing and Data Build-up,[B] Developmental,,[2] Ongoing Testing and Data Build-up,[B] Developmental,,[2] Ongoing Testing and Data Build-up,[B] Developmental,,[2] Ongoing Testing and Data Build-up,[B] Developmental,,[2] Ongoing Testing and Data Build-up,[B] Developmental,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Rizal, Palawan",,,,,17-053-23-000,17-53-23-000,Rizal,Palawan,MIMAROPA Region,Municipality,1st,R4B,B,G,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"San Jose, Occidental Mindoro",2021,2022-12,,,17-051-10-000,17-51-10-000,San Jose,Occidental Mindoro,MIMAROPA Region,Municipality,1st,R4B,A,G,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"San Jose, Romblon",2023,2023-04,,,17-059-14-000,17-59-14-000,San Jose,Romblon,MIMAROPA Region,Municipality,5th,R4B,B,G,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Santa Cruz, Marinduque",2023,2023-04,,,17-040-05-000,17-40-05-000,Santa Cruz,Marinduque,MIMAROPA Region,Municipality,1st,R4B,B,G,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Anilao, Iloilo",2022,2022-12,,,06-030-03-000,06-30-03-000,Anilao,Iloilo,Region VI (Western Visayas),Municipality,4th,R6,A,I,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Cabatuan, Iloilo",2023,2023-02,,,06-030-12-000,06-30-12-000,Cabatuan,Iloilo,Region VI (Western Visayas),Municipality,2nd,R6,B,I,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"City of Escalante, Negros Occidental",2022,2022-12,,,06-045-09-000,06-45-09-000,City of Escalante,Negros Occidental,Region VI (Western Visayas),City,4th,R6,A,I,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"City of Himamaylan, Negros Occidental",,,,,06-045-10-000,06-45-10-000,City of Himamaylan,Negros Occidental,Region VI (Western Visayas),City,3rd,R6,B,I,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"City of La Carlota, Negros Occidental",2021,2022-12,,,06-045-16-000,06-45-16-000,City of La Carlota,Negros Occidental,Region VI (Western Visayas),City,4th,R6,A,I,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"City of Sipalay, Negros Occidental",2022,2022-12,,,06-045-27-000,06-45-27-000,City of Sipalay,Negros Occidental,Region VI (Western Visayas),City,4th,R6,A,I,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Concepcion, Iloilo",2022,2022-12,,,06-030-15-000,06-30-15-000,Concepcion,Iloilo,Region VI (Western Visayas),Municipality,3rd,R6,A,I,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Cuartero, Capiz",2023,2023-01,,,06-019-01-000,06-19-01-000,Cuartero,Capiz,Region VI (Western Visayas),Municipality,4th,R6,B,I,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Dumarao, Capiz",2021,2022-12,,,06-019-04-000,06-19-04-000,Dumarao,Capiz,Region VI (Western Visayas),Municipality,2nd,R6,A,I,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"New Lucena, Iloilo",,,,,06-030-32-000,06-30-32-000,New Lucena,Iloilo,Region VI (Western Visayas),Municipality,4th,R6,B,I,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Oton, Iloilo",,,,,06-030-34-000,06-30-34-000,Oton,Iloilo,Region VI (Western Visayas),Municipality,1st,R6,B,I,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Pandan, Antique",,,,,06-006-11-000,06-06-11-000,Pandan,Antique,Region VI (Western Visayas),Municipality,4th,R6,B,I,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"San Miguel, Iloilo",,,,,06-030-41-000,06-30-41-000,San Miguel,Iloilo,Region VI (Western Visayas),Municipality,4th,R6,B,I,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Santa Barbara, Iloilo",2023,2023-02,,,06-030-43-000,06-30-43-000,Santa Barbara,Iloilo,Region VI (Western Visayas),Municipality,2nd,R6,B,I,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Sara, Iloilo",,,,,06-030-44-000,06-30-44-000,Sara,Iloilo,Region VI (Western Visayas),Municipality,2nd,R6,B,I,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Sebaste, Antique",2022,2022-12,,,06-006-15-000,06-06-15-000,Sebaste,Antique,Region VI (Western Visayas),Municipality,4th,R6,A,I,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Tangalan, Aklan",,,,,06-004-17-000,06-04-17-000,Tangalan,Aklan,Region VI (Western Visayas),Municipality,5th,R6,B,I,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Albuera, Leyte",,,,,08-037-03-000,08-37-03-000,Albuera,Leyte,Region VIII (Eastern Visayas),Municipality,3rd*,R8,B,K,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Anahawan, Southern Leyte",,,,,08-064-01-000,08-64-01-000,Anahawan,Southern Leyte,Region VIII (Eastern Visayas),Municipality,5th,R8,B,K,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Balangkayan, Eastern Samar",,,,,08-026-03-000,08-26-03-000,Balangkayan,Eastern Samar,Region VIII (Eastern Visayas),Municipality,5th,R8,B,K,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Barugo, Leyte",2022,2022-12,,,08-037-06-000,08-37-06-000,Barugo,Leyte,Region VIII (Eastern Visayas),Municipality,4th,R8,A,K,#N/A,#N/A,[4] Withdraw,[D] Withdraw,[4] Withdraw,[D] Withdraw,,[4] Withdraw,[D] Withdraw,,[4] Withdraw,[D] Withdraw,,[4] Withdraw,[D] Withdraw,,[4] Withdraw,[D] Withdraw,,[4] Withdraw,[D] Withdraw,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Biliran, Biliran",,,,,08-078-02-000,08-78-02-000,Biliran,Biliran,Region VIII (Eastern Visayas),Municipality,5th,R8,B,K,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Bobon, Northern Samar",2022,2022-12,,,08-048-03-000,08-48-03-000,Bobon,Northern Samar,Region VIII (Eastern Visayas),Municipality,4th,R8,A,K,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Calubian, Leyte",2022,2022-12,,,08-037-13-000,08-37-13-000,Calubian,Leyte,Region VIII (Eastern Visayas),Municipality,4th,R8,A,K,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Can-Avid, Eastern Samar",2022,2022-12,,,08-026-05-000,08-26-05-000,Can-Avid,Eastern Samar,Region VIII (Eastern Visayas),Municipality,4th,R8,A,K,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"City of Borongan, Eastern Samar",,,,,08-026-04-000,08-26-04-000,City of Borongan,Eastern Samar,Region VIII (Eastern Visayas),City,1st (as Mun),R8,B,K,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"City of Catbalogan, Samar",,,,,08-060-05-000,08-60-05-000,City of Catbalogan,Samar,Region VIII (Eastern Visayas),City,5th,R8,B,K,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"City of Maasin, Southern Leyte",,,,,08-064-07-000,08-64-07-000,City of Maasin,Southern Leyte,Region VIII (Eastern Visayas),City,4th,R8,B,K,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Daram, Samar",2022,2022-12,,,08-060-06-000,08-60-06-000,Daram,Samar,Region VIII (Eastern Visayas),Municipality,3rd,R8,A,K,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Dolores, Eastern Samar",2022,2022-12,,,08-026-06-000,08-26-06-000,Dolores,Eastern Samar,Region VIII (Eastern Visayas),Municipality,3rd*,R8,A,K,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Gamay, Northern Samar",2023,2023-05,,,08-048-07-000,08-48-07-000,Gamay,Northern Samar,Region VIII (Eastern Visayas),Municipality,4th,R8,B,K,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Gandara, Samar",2021,2022-12,12/29/2020,12/29/2020,08-060-07-000,08-60-07-000,Gandara,Samar,Region VIII (Eastern Visayas),Municipality,2nd,R8,A,K,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Hinunangan, Southern Leyte",2022,2022-12,,,08-064-03-000,08-64-03-000,Hinunangan,Southern Leyte,Region VIII (Eastern Visayas),Municipality,3rd,R8,A,K,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Hinundayan, Southern Leyte",2022,2022-12,,,08-064-04-000,08-64-04-000,Hinundayan,Southern Leyte,Region VIII (Eastern Visayas),Municipality,5th,R8,A,K,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Inopacan, Leyte",2021,2022-12,,,08-037-21-000,08-37-21-000,Inopacan,Leyte,Region VIII (Eastern Visayas),Municipality,4th,R8,A,K,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Kananga, Leyte",,,,,08-037-26-000,08-37-26-000,Kananga,Leyte,Region VIII (Eastern Visayas),Municipality,1st,R8,B,K,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Kawayan, Biliran",2023,2023-06,,,08-078-06-000,08-78-06-000,Kawayan,Biliran,Region VIII (Eastern Visayas),Municipality,5th*,R8,B,K,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Lapinig, Northern Samar",,,,,08-048-09-000,08-48-09-000,Lapinig,Northern Samar,Region VIII (Eastern Visayas),Municipality,5th,R8,B,K,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Lawaan, Eastern Samar",,,,,08-026-12-000,08-26-12-000,Lawaan,Eastern Samar,Region VIII (Eastern Visayas),Municipality,5th*,R8,B,K,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Leyte, Leyte",,,,,08-037-29-000,08-37-29-000,Leyte,Leyte,Region VIII (Eastern Visayas),Municipality,4th*,R8,B,K,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Libagon, Southern Leyte",2023,2023-01,,,08-064-05-000,08-64-05-000,Libagon,Southern Leyte,Region VIII (Eastern Visayas),Municipality,5th,R8,B,K,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
