,,,,,,LGU PROFILE,,,LGU PROFILE,,,,,,,,,,,,DECEMBER 2024,,,JANUARY 2025,,,FEBRUARY 2025,,,MARCH 2025,,,APRIL 2025,,,MAY 2025,,,JUNE 2025,,,JULY 2025,,,AUGUST 2025,,,SEPTEMBER 2025,,,OCTOBER 2025,,,NOVEMBER 2025,,,DECEMBER 2025,,
"Baler, Aurora",,,,,,03-077-01-000,03-77-01-000,"Baler, Aurora",Baler,Aurora,Region III (Central Luzon),Municipality,3rd,R3,A,E,2020,https://bldg.ibpls.com/baleraurora/,https://co.ibpls.com/baleraurora/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Casiguran, Aurora",,,,,,03-077-02-000,03-77-02-000,"Casiguran, Aurora",Casiguran,Aurora,Region III (Central Luzon),Municipality,2nd,R3,A,E,2021,https://bldg.ibpls.com/casiguranaurora/,https://co.ibpls.com/casiguranaurora/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Dingalan, Aurora",,,,,,03-077-05-000,03-77-05-000,"Dingalan, Aurora",Dingalan,Aurora,Region III (Central Luzon),Municipality,3rd,R3,B,E,2021,https://bldg.ibpls.com/dingalanaurora,https://co.ibpls.com/dingalanaurora,,#N/A,#N/A,#N/A,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Dipaculao, Aurora",,,,,,03-077-06-000,03-77-06-000,"Dipaculao, Aurora",Dipaculao,Aurora,Region III (Central Luzon),Municipality,3rd,R3,B,E,2021,https://bldg.ibpls.com/dipaculaoaurora/,https://co.ibpls.com/dipaculaoaurora/,,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Maria Aurora, Aurora",,,,,,03-077-07-000,03-77-07-000,"Maria Aurora, Aurora",Maria Aurora,Aurora,Region III (Central Luzon),Municipality,2nd,R3,A,E,2021,https://bldg.ibpls.com/mariaauroraaurora/,https://co.ibpls.com/mariaauroraaurora/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"City of Olongapo, Zambales",,,,,,03-314-00-000,03-71-07-000,"City of Olongapo, Zambales",City of Olongapo,Zambales,Region III (Central Luzon),City,1st,R3,B,E,2022,https://bldg.ibpls.com/olongapozambales,https://co.ibpls.com/olongapozambales,,#N/A,#N/A,#N/A,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Aliaga, Nueva Ecija",,,,,,03-049-01-000,03-49-01-000,"Aliaga, Nueva Ecija",Aliaga,Nueva Ecija,Region III (Central Luzon),Municipality,2nd,R3,B,E,2023,NO INSTANCE,NO INSTANCE,,#N/A,#N/A,#N/A,[8] Withdraw,[D] Withdraw,,[8] Withdraw,[D] Withdraw,,[8] Withdraw,[D] Withdraw,,[8] Withdraw,[D] Withdraw,,[8] Withdraw,[D] Withdraw,,[8] Withdraw,[D] Withdraw,,[8] Withdraw,[D] Withdraw,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Cabiao, Nueva Ecija",,,,,,03-049-04-000,03-49-04-000,"Cabiao, Nueva Ecija",Cabiao,Nueva Ecija,Region III (Central Luzon),Municipality,1st,R3,B,E,2023,https://bldg.ibpls.com/cabiaonuevaecija,https://co.ibpls.com/cabiaonuevaecija,,#N/A,#N/A,#N/A,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Balayan, Batangas",,,,,,04-010-03-000,04-10-03-000,"Balayan, Batangas",Balayan,Batangas,Region IV-A (CALABARZON),Municipality,1st,R4A,A,F,2021,https://bldg.ibpls.com/balayanbatangas/,https://co.ibpls.com/balayanbatangas/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Lemery, Batangas",,,,,,04-010-12-000,04-10-12-000,"Lemery, Batangas",Lemery,Batangas,Region IV-A (CALABARZON),Municipality,1st,R4A,B,F,2021,https://bldg.ibpls.com/lemerybatangas,https://co.ibpls.com/lemerybatangas,,#N/A,#N/A,#N/A,[8] Withdraw,[D] Withdraw,,[8] Withdraw,[D] Withdraw,,[8] Withdraw,[D] Withdraw,,[8] Withdraw,[D] Withdraw,,[8] Withdraw,[D] Withdraw,,[8] Withdraw,[D] Withdraw,,[8] Withdraw,[D] Withdraw,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Lian, Batangas",,,,,,04-010-13-000,04-10-13-000,"Lian, Batangas",Lian,Batangas,Region IV-A (CALABARZON),Municipality,3rd,R4A,A,F,2021,https://bldg.ibpls.com/lianbatangas/,https://co.ibpls.com/lianbatangas/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Mabini, Batangas",,,,,,04-010-16-000,04-10-16-000,"Mabini, Batangas",Mabini,Batangas,Region IV-A (CALABARZON),Municipality,1st,R4A,A,F,2021,https://bldg.ibpls.com/mabinibatangas/,https://co.ibpls.com/mabinibatangas/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"San Luis, Batangas",,,,,,04-010-24-000,04-10-24-000,"San Luis, Batangas",San Luis,Batangas,Region IV-A (CALABARZON),Municipality,4th,R4A,B,F,2021,https://bldg.ibpls.com/sanluisbatangas/,https://co.ibpls.com/sanluisbatangas/,2023-01,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Santa Teresita, Batangas",,,,,,04-010-27-000,04-10-27-000,"Santa Teresita, Batangas",Santa Teresita,Batangas,Region IV-A (CALABARZON),Municipality,5th,R4A,A,F,2021,https://bldg.ibpls.com/santateresitabatangas/,https://co.ibpls.com/santateresitabatangas/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Taal, Batangas",,,,,,04-010-29-000,04-10-29-000,"Taal, Batangas",Taal,Batangas,Region IV-A (CALABARZON),Municipality,3rd,R4A,A,F,2021,https://bldg.ibpls.com/taalbatangas/,https://co.ibpls.com/taalbatangas/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Amadeo, Cavite",,,,,,04-021-02-000,04-21-02-000,"Amadeo, Cavite",Amadeo,Cavite,Region IV-A (CALABARZON),Municipality,4th,R4A,B,F,2021,https://bldg.ibpls.com/amadeocavite,https://co.ibpls.com/amadeocavite,,#N/A,#N/A,#N/A,[2] Pilot Testing,[B] Developmental,Waiting for decision of LGU if they will use the system,[2] Pilot Testing,[B] Developmental,Waiting for decision of LGU if they will use the system,[2] Pilot Testing,[B] Developmental,Waiting for decision of LGU if they will use the system,[2] Pilot Testing,[B] Developmental,Waiting for decision of LGU if they will use the system,[2] Pilot Testing,[B] Developmental,Waiting for decision of LGU if they will use the system,[2] Pilot Testing,[B] Developmental,Waiting for decision of LGU if they will use the system,[2] Pilot Testing,[B] Developmental,Waiting for decision of LGU if they will use the system,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Magallanes, Cavite",,,,,,04-021-12-000,04-21-12-000,"Magallanes, Cavite",Magallanes,Cavite,Region IV-A (CALABARZON),Municipality,4th,R4A,B,F,2021,https://bldg.ibpls.com/magallanescavite/,https://co.ibpls.com/magallanescavite/,,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Naic, Cavite",,,,,,04-021-15-000,04-21-15-000,"Naic, Cavite",Naic,Cavite,Region IV-A (CALABARZON),Municipality,1st,R4A,A,F,2021,https://bldg.ibpls.com/naiccavite/,https://co.ibpls.com/naiccavite/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Cavinti, Laguna",,,,,,04-034-07-000,04-34-07-000,"Cavinti, Laguna",Cavinti,Laguna,Region IV-A (CALABARZON),Municipality,3rd,R4A,B,F,2022,https://bldg.ibpls.com/cavintilaguna,https://co.ibpls.com/cavintilaguna,,#N/A,#N/A,#N/A,[2] Pilot Testing,[B] Developmental,Waiting for LGU Schedule,[2] Pilot Testing,[B] Developmental,Waiting for LGU Schedule,[2] Pilot Testing,[B] Developmental,Waiting for LGU Schedule,[2] Pilot Testing,[B] Developmental,Waiting for LGU Schedule,[2] Pilot Testing,[B] Developmental,Waiting for LGU Schedule,[2] Pilot Testing,[B] Developmental,Waiting for LGU Schedule,[2] Pilot Testing,[B] Developmental,Waiting for LGU Schedule,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Paete, Laguna",,,,,,04-034-18-000,04-34-18-000,"Paete, Laguna",Paete,Laguna,Region IV-A (CALABARZON),Municipality,4th,R4A,B,F,2020,https://bldg.ibpls.com/paetelaguna/,https://co.ibpls.com/paetelaguna/,2023-01,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Alabat, Quezon",,,,,,04-056-02-000,04-56-02-000,"Alabat, Quezon",Alabat,Quezon,Region IV-A (CALABARZON),Municipality,5th,R4A,B,F,2021,https://bldg.ibpls.com/alabatquezon/,https://co.ibpls.com/alabatquezon/,2023-01,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Candelaria, Quezon",,,,,,04-056-08-000,04-56-08-000,"Candelaria, Quezon",Candelaria,Quezon,Region IV-A (CALABARZON),Municipality,1st,R4A,A,F,2021,https://bldg.ibpls.com/candelariaquezon/,https://co.ibpls.com/candelariaquezon/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"General Luna, Quezon",,,,,,04-056-16-000,04-56-16-000,"General Luna, Quezon",General Luna,Quezon,Region IV-A (CALABARZON),Municipality,4th,R4A,B,F,2022,https://bldg.ibpls.com/generallunaquezon/,https://co.ibpls.com/generallunaquezon/,,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"General Nakar, Quezon",,,,,,04-056-17-000,04-56-17-000,"General Nakar, Quezon",General Nakar,Quezon,Region IV-A (CALABARZON),Municipality,1st,R4A,B,F,2021,https://bldg.ibpls.com/generalnakarquezon/,https://co.ibpls.com/generalnakarquezon/,,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Gumaca, Quezon",,,,,,04-056-19-000,04-56-19-000,"Gumaca, Quezon",Gumaca,Quezon,Region IV-A (CALABARZON),Municipality,1st,R4A,B,F,2021,https://bldg.ibpls.com/gumacaquezon,https://co.ibpls.com/gumacaquezon,,#N/A,#N/A,#N/A,[7] To Follow-up,[C] For Training/Others,,[7] To Follow-up,[C] For Training/Others,,[7] To Follow-up,[C] For Training/Others,,[7] To Follow-up,[C] For Training/Others,,[7] To Follow-up,[C] For Training/Others,,[7] To Follow-up,[C] For Training/Others,,[7] To Follow-up,[C] For Training/Others,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Infanta, Quezon",,,,,,04-056-20-000,04-56-20-000,"Infanta, Quezon",Infanta,Quezon,Region IV-A (CALABARZON),Municipality,1st,R4A,A,F,2021,https://bldg.ibpls.com/infantaquezon/,https://co.ibpls.com/infantaquezon/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Mauban, Quezon",,,,,,04-056-27-000,04-56-27-000,"Mauban, Quezon",Mauban,Quezon,Region IV-A (CALABARZON),Municipality,1st,R4A,A,F,2021,https://bldg.ibpls.com/maubanquezon/,https://co.ibpls.com/maubanquezon/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Pitogo, Quezon",,,,,,04-056-34-000,04-56-34-000,"Pitogo, Quezon",Pitogo,Quezon,Region IV-A (CALABARZON),Municipality,4th,R4A,B,F,2022,https://bldg.ibpls.com/pitogoquezon,https://co.ibpls.com/pitogoquezon,,#N/A,#N/A,#N/A,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Sampaloc, Quezon",,,,,,04-056-39-000,04-56-39-000,"Sampaloc, Quezon",Sampaloc,Quezon,Region IV-A (CALABARZON),Municipality,5th,R4A,B,F,2022,https://bldg.ibpls.com/sampalocquezon/,https://co.ibpls.com/sampalocquezon/,2023-01,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Alfonso, Cavite",,,,,,04-021-01-000,04-21-01-000,"Alfonso, Cavite",Alfonso,Cavite,Region IV-A (CALABARZON),Municipality,1st,R4A,B,F,2023,https://bldg.ibpls.com/alfonsocavite,https://co.ibpls.com/alfonsocavite,,#N/A,#N/A,#N/A,[3] Ongoing Data Build-up,[B] Developmental,Waiting for LGU Schedule,[3] Ongoing Data Build-up,[B] Developmental,Waiting for LGU Schedule,[3] Ongoing Data Build-up,[B] Developmental,Waiting for LGU Schedule,[3] Ongoing Data Build-up,[B] Developmental,Waiting for LGU Schedule,[3] Ongoing Data Build-up,[B] Developmental,Waiting for LGU Schedule,[3] Ongoing Data Build-up,[B] Developmental,Waiting for LGU Schedule,[3] Ongoing Data Build-up,[B] Developmental,Waiting for LGU Schedule,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"San Nicolas, Batangas",,,,,,04-010-25-000,04-10-25-000,"San Nicolas, Batangas",San Nicolas,Batangas,Region IV-A (CALABARZON),Municipality,5th,R4A,B,F,2023,https://bldg.ibpls.com/sannicolasbatangas,https://co.ibpls.com/sannicolasbatangas,,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,"Launched on August 30, 2024",[1] Operational,[A] Operational,"Launched on August 30, 2024",[1] Operational,[A] Operational,"Launched on August 30, 2024",[1] Operational,[A] Operational,"Launched on August 30, 2024",[1] Operational,[A] Operational,"Launched on August 30, 2024",[1] Operational,[A] Operational,"Launched on August 30, 2024",[1] Operational,[A] Operational,"Launched on August 30, 2024",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"San Jose, Occidental Mindoro",,,,,,17-051-10-000,17-51-10-000,"San Jose, Occidental Mindoro",San Jose,Occidental Mindoro,MIMAROPA Region,Municipality,1st,R4B,A,G,2021,https://bldg.ibpls.com/sanjoseoccidentalmindoro/,https://co.ibpls.com/sanjoseoccidentalmindoro/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Baco, Oriental Mindoro",,,,,,17-052-01-000,17-52-01-000,"Baco, Oriental Mindoro",Baco,Oriental Mindoro,MIMAROPA Region,Municipality,3rd,R4B,B,G,2022,https://bldg.ibpls.com/bacoorientalmindoro/,https://co.ibpls.com/bacoorientalmindoro/,2023-01,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Gloria, Oriental Mindoro",,,,,,17-052-06-000,17-52-06-000,"Gloria, Oriental Mindoro",Gloria,Oriental Mindoro,MIMAROPA Region,Municipality,3rd,R4B,B,G,2021,https://bldg.ibpls.com/gloriaorientalmindoro/,https://co.ibpls.com/gloriaorientalmindoro/,2023-01,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Pinamalayan, Oriental Mindoro",,,,,,17-052-09-000,17-52-09-000,"Pinamalayan, Oriental Mindoro",Pinamalayan,Oriental Mindoro,MIMAROPA Region,Municipality,1st,R4B,B,G,2021,https://bldg.ibpls.com/pinamalayanorientalmindoro/,https://co.ibpls.com/pinamalayanorientalmindoro/,2023-01,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"San Teodoro, Oriental Mindoro",,,,,,17-052-13-000,17-52-13-000,"San Teodoro, Oriental Mindoro",San Teodoro,Oriental Mindoro,MIMAROPA Region,Municipality,4th,R4B,B,G,2020,https://bldg.ibpls.com/santeodoroorientalmindoro/,https://co.ibpls.com/santeodoroorientalmindoro/,2023-01,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Busuanga, Palawan",,,,,,17-053-07-000,17-53-07-000,"Busuanga, Palawan",Busuanga,Palawan,MIMAROPA Region,Municipality,3rd,R4B,A,G,2021,https://bldg.ibpls.com/busuangapalawan/,https://co.ibpls.com/busuangapalawan/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Coron, Palawan",,,,,,17-053-09-000,17-53-09-000,"Coron, Palawan",Coron,Palawan,MIMAROPA Region,Municipality,1st,R4B,B,G,2022,https://bldg.ibpls.com/coronpalawan/,https://co.ibpls.com/coronpalawan/,2023-01,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"El Nido, Palawan",,,,,,17-053-12-000,17-53-12-000,"El Nido, Palawan",El Nido,Palawan,MIMAROPA Region,Municipality,1st,R4B,A,G,2021,https://bldg.ibpls.com/elnidopalawan/,https://co.ibpls.com/elnidopalawan/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
